plan_id,case_id,feature_id,method,feature_name,material,recognized_geometry,selected_tool_or_holder,operation_sequence,cutting_parameters,manufacturing_reasoning_notes,plan_text,cam_pass,expert_acceptable,initial_graph_violation,final_unresolved_failure
F00_C03_react,F00_C03,F00,Standard ReAct Agent,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,nearby catalog tool,stepwise reasoning route: form-groove/full-profile forming with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F00_C03 (wide-angle drafted groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: form-groove/full-profile forming with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: graph-constraint violation.",No,No,Yes,Yes
F00_C03_kgmcf,F00_C03,F00,KGMCF (Ours),wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F00_C03 (wide-angle drafted groove), the KGMCF (Ours) plan selects form-groove tool; proposes Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C04_vanilla,F00_C04,F00,Vanilla MLLM,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F00_C04 (wide-angle drafted groove), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F00_C04_rag,F00_C04,F00,RAG-based Planner,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,retrieved template: form-groove/full-profile forming; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F00_C04 (wide-angle drafted groove), the RAG-based Planner plan selects form-groove tool; proposes retrieved template: form-groove/full-profile forming; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C04_react,F00_C04,F00,Standard ReAct Agent,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,stepwise reasoning route: form-groove/full-profile forming with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F00_C04 (wide-angle drafted groove), the Standard ReAct Agent plan selects form-groove tool; proposes stepwise reasoning route: form-groove/full-profile forming with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C04_kgmcf,F00_C04,F00,KGMCF (Ours),wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F00_C04 (wide-angle drafted groove), the KGMCF (Ours) plan selects form-groove tool; proposes Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C05_vanilla,F00_C05,F00,Vanilla MLLM,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F00_C05 (wide-angle drafted groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; holder collision risk; tool-workpiece interference risk.",No,No,Yes,Yes
F00_C05_rag,F00_C05,F00,RAG-based Planner,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,retrieved template: form-groove/full-profile forming; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F00_C05 (wide-angle drafted groove), the RAG-based Planner plan selects form-groove tool; proposes retrieved template: form-groove/full-profile forming; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C05_react,F00_C05,F00,Standard ReAct Agent,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,stepwise reasoning route: form-groove/full-profile forming with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F00_C05 (wide-angle drafted groove), the Standard ReAct Agent plan selects form-groove tool; proposes stepwise reasoning route: form-groove/full-profile forming with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C05_kgmcf,F00_C05,F00,KGMCF (Ours),wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F00_C05 (wide-angle drafted groove), the KGMCF (Ours) plan selects form-groove tool; proposes Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C01_vanilla,F01_C01,F01,Vanilla MLLM,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F01_C01 (thin-wall open groove), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; invalid CAM generation.",No,No,Yes,Yes
F01_C01_rag,F01_C01,F01,RAG-based Planner,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,retrieved similar standard tool,retrieved template: adaptive roughing + contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F01_C01 (thin-wall open groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: adaptive roughing + contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C01_react,F01_C01,F01,Standard ReAct Agent,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,stepwise reasoning route: adaptive roughing + contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F01_C01 (thin-wall open groove), the Standard ReAct Agent plan selects D4 carbide end mill; proposes stepwise reasoning route: adaptive roughing + contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C01_kgmcf,F01_C01,F01,KGMCF (Ours),thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F01_C01 (thin-wall open groove), the KGMCF (Ours) plan selects D4 carbide end mill; proposes Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C02_vanilla,F01_C02,F01,Vanilla MLLM,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F01_C02 (thin-wall open groove), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C02_rag,F01_C02,F01,RAG-based Planner,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,retrieved template: adaptive roughing + contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F01_C02 (thin-wall open groove), the RAG-based Planner plan selects D4 carbide end mill; proposes retrieved template: adaptive roughing + contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: graph-constraint violation; holder collision risk; invalid CAM generation; overcut risk; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C02_react,F01_C02,F01,Standard ReAct Agent,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,stepwise reasoning route: adaptive roughing + contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F01_C02 (thin-wall open groove), the Standard ReAct Agent plan selects D4 carbide end mill; proposes stepwise reasoning route: adaptive roughing + contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F01_C02_kgmcf,F01_C02,F01,KGMCF (Ours),thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F01_C02 (thin-wall open groove), the KGMCF (Ours) plan selects D4 carbide end mill; proposes Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. Potential issues recorded: graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C03_vanilla,F01_C03,F01,Vanilla MLLM,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F01_C03 (thin-wall open groove), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F01_C03_rag,F01_C03,F01,RAG-based Planner,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,retrieved template: adaptive roughing + contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F01_C03 (thin-wall open groove), the RAG-based Planner plan selects D4 carbide end mill; proposes retrieved template: adaptive roughing + contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C03_react,F01_C03,F01,Standard ReAct Agent,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,nearby catalog tool,stepwise reasoning route: adaptive roughing + contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F01_C03 (thin-wall open groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: adaptive roughing + contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: expert hard veto; graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C03_kgmcf,F01_C03,F01,KGMCF (Ours),thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F01_C03 (thin-wall open groove), the KGMCF (Ours) plan selects D4 carbide end mill; proposes Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. Potential issues recorded: graph-constraint violation; holder collision risk.",No,No,Yes,Yes
F01_C04_vanilla,F01_C04,F01,Vanilla MLLM,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F01_C04 (thin-wall open groove), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk.",No,No,Yes,Yes
F01_C04_rag,F01_C04,F01,RAG-based Planner,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,retrieved similar standard tool,retrieved template: adaptive roughing + contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F01_C04 (thin-wall open groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: adaptive roughing + contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C04_react,F01_C04,F01,Standard ReAct Agent,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,stepwise reasoning route: adaptive roughing + contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F01_C04 (thin-wall open groove), the Standard ReAct Agent plan selects D4 carbide end mill; proposes stepwise reasoning route: adaptive roughing + contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C04_kgmcf,F01_C04,F01,KGMCF (Ours),thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F01_C04 (thin-wall open groove), the KGMCF (Ours) plan selects D4 carbide end mill; proposes Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C05_vanilla,F01_C05,F01,Vanilla MLLM,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F01_C05 (thin-wall open groove), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F01_C05_rag,F01_C05,F01,RAG-based Planner,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,retrieved similar standard tool,retrieved template: adaptive roughing + contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F01_C05 (thin-wall open groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: adaptive roughing + contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: graph-constraint violation; overcut risk.",No,No,Yes,Yes
F01_C05_react,F01_C05,F01,Standard ReAct Agent,thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,stepwise reasoning route: adaptive roughing + contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F01_C05 (thin-wall open groove), the Standard ReAct Agent plan selects D4 carbide end mill; proposes stepwise reasoning route: adaptive roughing + contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F01_C05_kgmcf,F01_C05,F01,KGMCF (Ours),thin-wall open groove,Ti-6Al-4V,thin wall adjacent open groove,D4 carbide end mill,Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F01_C05 (thin-wall open groove), the KGMCF (Ours) plan selects D4 carbide end mill; proposes Aero-MPKG-grounded route: adaptive roughing + contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C01_vanilla,F02_C01,F02,Vanilla MLLM,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F02_C01 (narrow blind slot), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; overcut risk; tool-workpiece interference risk.",No,No,Yes,Yes
F02_C01_rag,F02_C01,F02,RAG-based Planner,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,retrieved template: trochoidal slot milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F02_C01 (narrow blind slot), the RAG-based Planner plan selects slender slotting end mill; proposes retrieved template: trochoidal slot milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C01_react,F02_C01,F02,Standard ReAct Agent,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,stepwise reasoning route: trochoidal slot milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F02_C01 (narrow blind slot), the Standard ReAct Agent plan selects slender slotting end mill; proposes stepwise reasoning route: trochoidal slot milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C01_kgmcf,F02_C01,F02,KGMCF (Ours),narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F02_C01 (narrow blind slot), the KGMCF (Ours) plan selects slender slotting end mill; proposes Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
